Category,Product Name,Serving Size (g),Calories,Calories from fat,Total fat (g),Saturated Fat (g),Trans Fat (g),Chol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugar (g),Protein (g)
WHOPPER SANDWICHES,WHOPPER Sandwich,270,660,360,40,12,1.5,90,980,49,2,11,28
WHOPPER SANDWICHES,WHOPPER Sandwich with Cheese,292,740,420,46,16,2,115,1340,50,2,11,32
WHOPPER SANDWICHES,Bacon & Cheese WHOPPER Sandwich,303,790,460,51,17,2,125,1560,50,2,11,35
WHOPPER SANDWICHES,DOUBLE WHOPPER Sandwich,354,900,520,58,20,3,175,1050,49,2,11,48
WHOPPER SANDWICHES,DOUBLE WHOPPER Sandwich with Cheese,377,980,580,64,24,3,195,1410,50,2,11,52
WHOPPER SANDWICHES,TRIPLE WHOPPER Sandwich,438,1130,680,75,28,4,255,1120,49,2,11,67
WHOPPER SANDWICHES,TRIPLE WHOPPER Sandwich with Cheese,461,1220,740,82,32,4.5,280,1470,50,2,11,71
WHOPPER SANDWICHES,WHOPPER JR.  Sandwich,134,310,160,18,5,0.5,40,390,27,1,7,13
FLAME BROILED BURGERS,BACON KING Sandwich,356,1150,710,79,31,3.5,240,2150,49,2,10,61
FLAME BROILED BURGERS,Cheddar BACON KING Sandwich,366,1190,750,84,33,3.5,235,1930,50,2,11,64
FLAME BROILED BURGERS,Single Quarter Pound KING Sandwich,231,580,260,29,13,1.5,105,1310,49,2,10,32
FLAME BROILED BURGERS,Double Quarter Pound KING Sandwich,338,900,480,54,25,3,210,1740,50,2,11,56
FLAME BROILED BURGERS,Single STACKER KING,223,700,380,42,16,2,125,1360,48,1,10,35
FLAME BROILED BURGERS,Double STACKER KING,334,1050,610,68,28,3.5,235,1870,49,1,11,61
FLAME BROILED BURGERS,IMPOSSIBLE WHOPPER Sandwich**,285,630,310,34,11,0,10,1080,58,4,12,25
FLAME BROILED BURGERS,Hamburger,99,240,90,10,3.5,0.5,35,380,26,1,6,13
FLAME BROILED BURGERS,Cheeseburger,111,280,120,13,6,0.5,45,560,27,1,7,15
FLAME BROILED BURGERS,Double Hamburger,136,350,160,18,7,1,70,410,26,1,6,21
