Item,Category,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Restaurant,Meal Type
"6"" All-American Club",Sandwich,211.0,350,13.0,6.0,0.0,55,1220,39,1.0,5,25,Subway,Mains
"6"" Black Forest Ham",Sandwich,219.0,270,4.0,1.0,0.0,30,810,41,4.0,6,18,Subway,Mains
"6"" Buffalo Chicken (with Grilled Chicken)",Sandwich,248.0,340,12.0,3.0,0.0,55,1360,39,2.0,4,24,Subway,Mains
"6"" Chicken & Bacon Ranch (with Grilled Chicken)",Sandwich,256.0,510,27.0,10.0,0.0,100,1020,39,2.0,5,36,Subway,Mains
"6"" Chicken & Bacon Ranch (with Rotisserie-Style Chicken)",Sandwich,256.0,530,29.0,11.0,0.0,105,1200,39,2.0,5,34,Subway,Mains
"6"" Cold Cut Combo",Sandwich,213.0,280,10.0,3.0,0.0,45,980,38,2.0,4,17,Subway,Mains
"6"" Italian BMT®",Sandwich,213.0,360,16.0,6.0,0.0,50,1160,39,2.0,4,19,Subway,Mains
"6"" Meatball Marinara",Sandwich,205.0,400,17.0,7.0,1.0,40,1080,46,3.0,6,20,Subway,Mains
"6"" Oven Roasted Turkey",Sandwich,218.0,260,3.0,1.0,0.0,25,790,39,4.0,6,19,Subway,Mains
"6"" Roast beef",Sandwich,233.0,300,5.0,2.0,0.0,40,740,41,4.0,7,22,Subway,Mains
"6"" Rotisserie-Style Chicken",Sandwich,233.0,300,6.0,2.0,0.0,50,710,39,4.0,5,23,Subway,Mains
"6"" Spicy Italian",Sandwich,208.0,430,24.0,9.0,0.0,60,1280,39,2.0,4,19,Subway,Mains
"6"" Steak & Cheese (with American cheese)",Sandwich,161.0,320,10.0,5.0,0.0,65,1020,37,1.0,3,25,Subway,Mains
"6"" Subway Club®",Sandwich,255.0,310,5.0,2.0,0.0,45,1010,42,4.0,7,26,Subway,Mains
"6"" Sweet Onion Chicken Teriyaki",Sandwich,265.0,330,4.0,1.0,0.0,50,800,52,4.0,14,24,Subway,Mains
"6"" Tuna",Sandwich,223.0,430,25.0,5.0,0.0,40,670,37,1.0,4,19,Subway,Mains
"6"" Veggie Delite®",Sandwich,162.0,200,2.0,0.0,0.0,0,320,39,4.0,5,8,Subway,Mains
"6"" Baja Steak & Jack",Sandwich,178.0,390,18.0,6.0,0.0,75,1170,38,1.0,4,26,Subway,Mains
"6"" Baja Chicken & Bacon (with Rotisserie-Style Chicken)",Sandwich,256.0,510,27.0,11.0,0.0,100,1530,39,2.0,5,32,Subway,Mains
"6"" ""CALI FRESH"" Steak (with Smashed Avocado)",Sandwich,273.0,610,34.0,9.0,0.0,90,1190,44,6.0,7,33,Subway,Mains
"6"" ""CALI FRESH"" Turkey (with Smashed Avocado)",Sandwich,258.0,550,30.0,8.0,0.0,60,1210,42,6.0,6,28,Subway,Mains
"6"" ""CALI FRESH"" Steak (with Sliced Avocado)",Sandwich,266.0,580,32.0,9.0,0.0,90,1070,43,6.0,6,33,Subway,Mains
"6"" ""CALI FRESH"" Turkey (with Sliced Avocado)",Sandwich,251.0,520,28.0,7.0,0.0,60,1080,42,6.0,6,28,Subway,Mains
"6"" Big Hot Pastrami",Sandwich,213.0,470,26.0,9.0,0.0,80,1780,38,1.0,4,27,Subway,Mains
"6"" B.L.T",Sandwich,151.0,330,14.0,5.0,0.0,35,700,37,1.0,4,17,Subway,Mains
"6"" Chicken Pizziola (with Grilled Chicken)",Sandwich,231.0,400,15.0,6.0,0.0,80,1100,40,2.0,6,31,Subway,Mains
"6"" Grilled Chicken",Sandwich,233.0,280,4.0,1.0,0.0,50,530,40,4.0,6,24,Subway,Mains
"6"" Oven Roasted Chicken",Sandwich,233.0,280,5.0,1.0,0.0,45,620,41,4.0,6,21,Subway,Mains
"6"" Oven Roasted Turkey and Ham",Sandwich,219.0,270,4.0,1.0,0.0,25,800,40,4.0,6,19,Subway,Mains
"6"" Pizza Sub",Sandwich,165.0,420,23.0,10.0,1.0,60,1480,41,0.0,5,18,Subway,Mains
"6"" Steak Club",Sandwich,225.0,470,26.0,8.0,0.0,75,1270,38,1.0,4,28,Subway,Mains
"6"" Turkey Italiano",Sandwich,192.0,460,27.0,9.0,0.0,60,1530,38,1.0,4,22,Subway,Mains
"6"" Veggie Patty",Sandwich,247.0,380,11.0,1.0,0.0,0,640,56,12.0,7,14,Subway,Mains
Veggie Delite®,Kids' Mini Sub,108.0,140,2.0,0.0,0.0,0,210,26,3.0,3,5,Subway,Mains
Black Forest Ham,Kids' Mini Sub,137.0,170,3.0,1.0,0.0,15,460,27,3.0,4,10,Subway,Mains
Oven Roasted Turkey,Kids' Mini Sub,137.0,160,2.0,0.0,0.0,10,450,26,3.0,4,11,Subway,Mains
Roast Beef,Kids' Mini Sub,146.0,190,3.0,1.0,0.0,20,440,27,3.0,4,13,Subway,Mains
All-American Club on Spinach Wrap,Wrap,348.0,630,27.0,11.0,0.0,95,2320,57,3.0,6,42,Subway,Mains
Black Forest Ham on Tomato Basil Wrap,Wrap,307.0,440,12.0,5.0,0.0,55,1720,57,4.0,6,29,Subway,Mains
Buffalo Chicken Wrap (with Grilled Chicken) on Tomato Basil Wrap,Wrap,356.0,550,20.0,6.0,0.0,110,1950,55,4.0,6,42,Subway,Mains
Chicken & Bacon Ranch (with Grilled Chicken) on Spinach Wrap,Wrap,400.0,810,41.0,16.0,0.0,170,1830,56,4.0,6,59,Subway,Mains
Chicken & Bacon Ranch (with Rotiserrie-Style Chicken) on Spinach Wrap,Wrap,378.0,840,45.0,17.0,0.0,170,2200,55,4.0,5,55,Subway,Mains
Cold Cut Combo on Tomato Basil Wrap,Wrap,314.0,530,24.0,7.0,0.0,95,1970,54,3.0,5,27,Subway,Mains
Italian BMT® on Tomato Basil Wrap,Wrap,314.0,680,37.0,14.0,0.0,100,2330,57,4.0,5,32,Subway,Mains
Meatball Marinara on Tomato Basil Wrap,Wrap,381.0,770,39.0,16.0,2.0,75,2160,74,8.0,12,34,Subway,Mains
